Date,Title,Resume
17.08.19,"«Si on continue d’ignorer la science, nous allons probablement tous mourir»","Roger Hallam, cofondateur d’Extinction Rebellion, met en avant l’importance d’une confrontation non violente avec les gouvernements pour faire évoluer la société."
17.08.19,La Chine hésite à franchir le Rubicon,"Entre désir d’affirmer son autorité et crainte d’un Tiananmen bis, Pékin rechigne pour l’instant à faire entrer ses troupes à Hongkong."
17.08.19,La fusée vers l’or,"Eau, métaux précieux et terres rares... Des entreprises privées veulent exploiter les ressources naturelles de la Lune à des fins commerciales, profitant d’un flou juridique et avec l’appui des Etats-Unis, tandis que des milliardaires misent sur le tourisme lunaire."
17.08.19,Jean-Paul Engélibert : «Les fictions d’apocalypse nous disent que l’avenir est une promesse»,"Pour le professeur de littérature, la trilogie «le Dernier Homme» de la romancière Margaret Atwood montre à quel point les récits de la fin du monde nous invitent à repenser notre rapport au temps. Plus critiques face au présent, nous sommes plus aptes à inventer un futur désirable."
16.08.19,"L'Umuganura, une réconciliation rwandaise ","En restaurant une fête abolie durant la colonisation, le pays fait le pari de se reconstruire à partir de ses traditions, explique l'écrivaine Scholastique Mukasonga."
16.08.19,"Anticapitalisme : le Morbihan, dernier refuge de Vincenzo Vecchi","Arrêté le 8 août, l’ancien activiste italien était sous le coup de deux mandats d’arrêt et avait été condamné à de lourdes peines pour des violences commises lors de manifestations à Gênes et à Milan. Il vivait paisiblement près du village de Rochefort-en-Terre depuis huit ans. Sur place, ses soutiens s’organisent."
15.08.19,"Migrants, Israël, Facebook… L’essentiel de l’actu de ce jeudi",Migrants. Double revers pour le ministre de l'Intérieur Matteo Salvini : la justice italienne a autorisé le bateau humanitaire Open Arms à approcher de...
16.08.19,Adeline Grattard met le turbot,"Chaque jour un chef raconte, par le menu, comment et pourquoi lui est venue l’idée d’un mets. Aujourd’hui, la cheffe du Yam’Tcha dépiaute le poisson sans tabou."
15.08.19,"Toni Morrison, dévoiler le réel","L'autrice de «Beloved» et de «l’Œil le plus bleu», décédée le 5 août, a toujours voulu échapper à la détermination de ce qui est tenu pour visible et invisible, de ce qui est digne d’être regardé ou ignoré, écrit, conté ou tu."
15.08.19,CHU de Pointe-à-Pitre : «Il y a une différence de traitement entre les territoires hexagonaux et l’outre-mer»,"Le chercheur en sciences politiques Pierre Odin analyse la crise actuelle en Guadeloupe à la lumière de la grande grève générale de 2009, qui avait paralysé les Antilles pendant plus d'un mois. "
